Ambient Sensor,OFF, ,
SPA SAS Port 1 Link,ON,Blue,
SPA Fiber Channel Port 1,ON,Blue,
SPA Ethernet Port 4 Link,ON,Green,
SPA Ethernet Port 4 Activity,OFF, ,
SPA SAS Port 2 Link,ON,Green,
SPA Unsafe To Remove,ON,Teal,
SPA Ethernet Port 3 Link,ON,Green,
SPA Ethernet Port 3 Activity,ON,Green,
SPA Memory Fault,OFF, ,
SPA Power,OFF, ,
SPA Fault,OFF, ,
SPA Ethernet Port 1 Activity,ON,Green,
SPA Ethernet Port 2 Link,OFF, ,
SPA Ethernet Port 2 Activity,OFF, ,
SPA Ethernet Port 1 Link,ON,Green,
SPA Fiber Channel Port 2,ON,Blue,
SPB Ethernet Port 1 Link,ON,Green,
SPB Ethernet Port 2 Link,ON,Green,
SPB Memory Fault,OFF, ,
SPB Ethernet Port 1 Activity,OFF, ,
SPB Ethernet Port 2 Activity,OFF, ,
SPB Unsafe To Remove,ON,Teal,
SPB Fault,OFF, ,
SPB Power,OFF, ,
SPB Ethernet port 4 Activity,OFF, ,
SPB Ethernet port 3 Link,ON,Green,
SPB Ethernet Port 3 Activity,OFF, ,
SPB SAS Port 1 Link,ON,Green,
SPB SAS Port 2 Link,ON,Blue,
SPB Ethernet Port 4 Link,ON,Green,
SPB Fiber Channel Port 1,ON,Blue,
SPB Fiber Channel Port 2,ON,Blue,

